iso,unix,eui,x,y,z,dx,dy,dz,ecef_x,ecef_y,ecef_z,wgs84_lat,wgs84_lon,wgs84_alt,wgs84_heading,wgs84_speed
2016-08-18_18-42-08,1471545728.870329,deca010000000008,0.142,-2.457,-0.415,-0.261,-0.182,-0.468,51.491450727267,7.412212591784,-0.415,270.239,0.017
2016-08-18_18-42-08,1471545728.902728,deca010000000007,0.139,-0.061,0.118,-0.013,0.002,0.013,51.491468343733,7.412232431160,0.118,313.790,0.002
2016-08-18_18-42-08,1471545728.959460,deca010000000007,0.123,-0.059,0.096,-0.026,0.003,-0.006,51.491468438727,7.412232260471,0.096,312.694,0.002
2016-08-18_18-42-09,1471545729.002755,deca010000000008,0.126,-2.442,-0.419,-0.267,-0.160,-0.454,51.491450922933,7.412212518572,-0.419,274.192,0.041
2016-08-18_18-42-09,1471545729.044059,deca010000000007,0.125,-0.062,0.076,-0.021,0.001,-0.024,51.491468406177,7.412232262809,0.076,306.654,0.002
2016-08-18_18-42-09,1471545729.126534,deca010000000007,0.118,-0.064,0.071,-0.027,-0.002,-0.026,51.491468430200,7.412232152292,0.071,301.673,0.002
2016-08-18_18-42-09,1471545729.136942,deca010000000008,0.130,-2.433,-0.391,-0.262,-0.151,-0.427,51.491450967436,7.412212639123,-0.391,275.243,0.041
2016-08-18_18-42-09,1471545729.188883,deca010000000007,0.111,-0.066,0.086,-0.034,-0.003,-0.012,51.491468451156,7.412232063318,0.086,299.880,0.002
2016-08-18_18-42-09,1471545729.253458,deca010000000008,0.130,-2.431,-0.403,-0.246,-0.140,-0.415,51.491450980711,7.412212662127,-0.403,275.488,0.033
2016-08-18_18-42-09,1471545729.306813,deca010000000007,0.112,-0.059,0.085,-0.031,0.003,-0.012,51.491468492323,7.412232126471,0.085,310.420,0.004
2016-08-18_18-42-09,1471545729.319392,deca010000000008,0.141,-2.424,-0.383,-0.234,-0.133,-0.396,51.491450978328,7.412212844926,-0.383,275.656,0.018
2016-08-18_18-42-09,1471545729.379878,deca010000000007,0.112,-0.060,0.085,-0.030,0.002,-0.011,51.491468490902,7.412232113830,0.085,309.234,0.002
2016-08-18_18-42-09,1471545729.450075,deca010000000008,0.135,-2.420,-0.377,-0.226,-0.122,-0.370,51.491451032651,7.412212806616,-0.377,276.881,0.034
2016-08-18_18-42-09,1471545729.527242,deca010000000007,0.108,-0.061,0.088,-0.032,0.001,-0.008,51.491468506096,7.412232063620,0.088,307.702,0.005
2016-08-18_18-42-09,1471545729.540287,deca010000000008,0.143,-2.416,-0.368,-0.216,-0.116,-0.360,51.491451024779,7.412212937902,-0.368,276.889,0.022
2016-08-18_18-42-09,1471545729.641284,deca010000000008,0.125,-2.416,-0.393,-0.213,-0.106,-0.352,51.491451114428,7.412212730689,-0.393,278.708,0.024
2016-08-18_18-42-09,1471545729.666339,deca010000000007,0.099,-0.059,0.090,-0.039,0.002,-0.005,51.491468560447,7.412231972901,0.090,308.746,0.005
2016-08-18_18-42-09,1471545729.714207,deca010000000008,0.114,-2.406,-0.381,-0.216,-0.093,-0.331,51.491451242934,7.412212679076,-0.381,281.841,0.017
2016-08-18_18-42-09,1471545729.791945,deca010000000007,0.086,-0.051,0.111,-0.051,0.010,0.012,51.491468691438,7.412231895309,0.111,316.224,0.007
2016-08-18_18-42-09,1471545729.805113,deca010000000008,0.110,-2.390,-0.363,-0.218,-0.077,-0.315,51.491451385176,7.412212771913,-0.363,285.709,0.021
2016-08-18_18-42-09,1471545729.932849,deca010000000008,0.095,-2.392,-0.380,-0.209,-0.072,-0.300,51.491451447185,7.412212565126,-0.380,286.272,0.028
2016-08-18_18-42-10,1471545730.058040,deca010000000007,0.096,-0.046,0.106,-0.035,0.013,0.005,51.491468672979,7.412232051918,0.106,325.746,0.010
2016-08-18_18-42-10,1471545730.068897,deca010000000008,0.114,-2.390,-0.373,-0.190,-0.070,-0.294,51.491451362023,7.412212806807,-0.373,284.911,0.028
2016-08-18_18-42-10,1471545730.130021,deca010000000008,0.114,-2.393,-0.377,-0.180,-0.070,-0.285,51.491451339178,7.412212778897,-0.377,284.010,0.012
2016-08-18_18-42-10,1471545730.210232,deca010000000007,0.091,-0.049,0.109,-0.038,0.009,0.007,51.491468676561,7.412231960368,0.109,318.996,0.006
2016-08-18_18-42-10,1471545730.278215,deca010000000008,0.128,-2.398,-0.394,-0.156,-0.071,-0.285,51.491451227266,7.412212913031,-0.394,280.653,0.025
2016-08-18_18-42-10,1471545730.354479,deca010000000007,0.093,-0.050,0.114,-0.034,0.008,0.010,51.491468659104,7.412231972421,0.114,318.056,0.005
2016-08-18_18-42-10,1471545730.390797,deca010000000008,0.145,-2.402,-0.395,-0.136,-0.074,-0.281,51.491451109755,7.412213078296,-0.395,276.757,0.017
2016-08-18_18-42-10,1471545730.407586,deca010000000007,0.098,-0.050,0.116,-0.029,0.008,0.010,51.491468632088,7.412232038108,0.116,320.594,0.002
2016-08-18_18-42-10,1471545730.459855,deca010000000008,0.151,-2.399,-0.398,-0.126,-0.068,-0.274,51.491451105473,7.412213167369,-0.398,276.746,0.010
2016-08-18_18-42-10,1471545730.543725,deca010000000007,0.099,-0.051,0.115,-0.026,0.007,0.008,51.491468625716,7.412232041287,0.115,320.427,0.004
2016-08-18_18-42-10,1471545730.620724,deca010000000008,0.141,-2.391,-0.370,-0.130,-0.057,-0.243,51.491451216114,7.412213114236,-0.370,281.433,0.023
2016-08-18_18-42-10,1471545730.645893,deca010000000007,0.094,-0.052,0.126,-0.031,0.006,0.017,51.491468640548,7.412231977948,0.126,315.769,0.003
2016-08-18_18-42-10,1471545730.707972,deca010000000007,0.086,-0.056,0.142,-0.040,0.002,0.028,51.491468657384,7.412231843510,0.142,308.249,0.002
2016-08-18_18-42-10,1471545730.749516,deca010000000008,0.144,-2.392,-0.368,-0.123,-0.056,-0.236,51.491451194725,7.412213154267,-0.368,280.660,0.017
2016-08-18_18-42-10,1471545730.839813,deca010000000007,0.087,-0.060,0.148,-0.036,-0.002,0.030,51.491468615099,7.412231824536,0.148,302.123,0.005
2016-08-18_18-42-10,1471545730.881352,deca010000000008,0.156,-2.394,-0.368,-0.109,-0.057,-0.231,51.491451114244,7.412213272763,-0.368,277.352,0.016
2016-08-18_18-42-10,1471545730.939329,deca010000000008,0.159,-2.387,-0.361,-0.102,-0.049,-0.220,51.491451150676,7.412213372731,-0.361,279.585,0.007
2016-08-18_18-42-10,1471545730.952249,deca010000000007,0.097,-0.058,0.146,-0.025,0.001,0.026,51.491468581272,7.412231967153,0.146,306.409,0.003
2016-08-18_18-42-10,1471545730.993647,deca010000000008,0.165,-2.380,-0.357,-0.094,-0.042,-0.212,51.491451171686,7.412213502290,-0.357,281.358,0.006
2016-08-18_18-42-11,1471545731.039571,deca010000000007,0.103,-0.053,0.150,-0.019,0.005,0.027,51.491468586613,7.412232079141,0.150,319.764,0.002
2016-08-18_18-42-11,1471545731.072906,deca010000000008,0.178,-2.384,-0.366,-0.080,-0.045,-0.214,51.491451074433,7.412213611614,-0.366,275.892,0.007
2016-08-18_18-42-11,1471545731.171263,deca010000000007,0.111,-0.051,0.148,-0.010,0.006,0.022,51.491468563959,7.412232179246,0.148,338.021,0.002
2016-08-18_18-42-11,1471545731.186652,deca010000000008,0.190,-2.380,-0.360,-0.070,-0.042,-0.210,51.491451044289,7.412213784888,-0.360,274.370,0.009
2016-08-18_18-42-11,1471545731.243562,deca010000000008,0.186,-2.379,-0.355,-0.071,-0.039,-0.200,51.491451069494,7.412213748923,-0.355,276.287,0.005
2016-08-18_18-42-11,1471545731.275847,deca010000000007,0.110,-0.053,0.145,-0.010,0.004,0.020,51.491468553649,7.412232150341,0.145,328.780,0.001
2016-08-18_18-42-11,1471545731.368139,deca010000000007,0.112,-0.055,0.144,-0.006,0.002,0.017,51.491468525424,7.412232164626,0.144,325.669,0.001
2016-08-18_18-42-11,1471545731.388600,deca010000000008,0.184,-2.377,-0.332,-0.073,-0.037,-0.184,51.491451098113,7.412213747369,-0.332,278.664,0.012
2016-08-18_18-42-11,1471545731.472945,deca010000000008,0.178,-2.374,-0.333,-0.074,-0.032,-0.175,51.491451149093,7.412213701511,-0.333,282.093,0.007
2016-08-18_18-42-11,1471545731.493359,deca010000000007,0.117,-0.049,0.141,-0.001,0.007,0.014,51.491468541117,7.412232266792,0.141,29.610,0.001
2016-08-18_18-42-11,1471545731.558043,deca010000000008,0.179,-2.372,-0.326,-0.071,-0.029,-0.165,51.491451159106,7.412213721516,-0.326,283.040,0.007
2016-08-18_18-42-11,1471545731.615687,deca010000000007,0.121,-0.054,0.150,0.001,0.003,0.019,51.491468486326,7.412232275680,0.150,62.326,0.000
2016-08-18_18-42-11,1471545731.706709,deca010000000007,0.126,-0.048,0.138,0.009,0.008,0.009,51.491468502967,7.412232379672,0.138,83.773,0.001
2016-08-18_18-42-11,1471545731.706709,deca010000000008,0.186,-2.367,-0.319,-0.065,-0.025,-0.162,51.491451159036,7.412213855179,-0.319,284.340,0.010
2016-08-18_18-42-11,1471545731.797131,deca010000000007,0.122,-0.052,0.151,0.002,0.004,0.017,51.491468497279,7.412232300088,0.151,59.114,0.000
2016-08-18_18-42-11,1471545731.822827,deca010000000008,0.181,-2.362,-0.300,-0.070,-0.020,-0.148,51.491451224450,7.412213828105,-0.300,289.281,0.009
2016-08-18_18-42-11,1471545731.870840,deca010000000007,0.116,-0.052,0.154,-0.004,0.004,0.020,51.491468526610,7.412232238187,0.154,348.415,0.000
2016-08-18_18-42-11,1471545731.875423,deca010000000008,0.183,-2.362,-0.296,-0.068,-0.020,-0.145,51.491451214986,7.412213859638,-0.296,289.002,0.004
2016-08-18_18-42-11,1471545731.954379,deca010000000007,0.118,-0.054,0.157,-0.003,0.002,0.021,51.491468505145,7.412232240993,0.157,340.135,0.000
2016-08-18_18-42-12,1471545732.020582,deca010000000008,0.186,-2.360,-0.307,-0.062,-0.018,-0.147,51.491451207910,7.412213903733,-0.307,288.831,0.009
2016-08-18_18-42-12,1471545732.078043,deca010000000007,0.122,-0.046,0.141,0.005,0.009,0.009,51.491468540027,7.412232357844,0.141,66.132,0.001
2016-08-18_18-42-12,1471545732.163043,deca010000000008,0.191,-2.360,-0.306,-0.054,-0.017,-0.139,51.491451186245,7.412213961065,-0.306,287.527,0.008
2016-08-18_18-42-12,1471545732.298567,deca010000000008,0.179,-2.355,-0.320,-0.059,-0.011,-0.136,51.491451282451,7.412213868576,-0.320,294.931,0.008
2016-08-18_18-42-12,1471545732.314895,deca010000000007,0.117,-0.043,0.145,-0.000,0.011,0.012,51.491468586259,7.412232317397,0.145,32.557,0.003
2016-08-18_18-42-12,1471545732.586092,deca010000000007,0.111,-0.039,0.145,-0.005,0.012,0.011,51.491468646032,7.412232287550,0.145,11.108,0.003
2016-08-18_18-42-12,1471545732.650786,deca010000000007,0.103,-0.043,0.153,-0.015,0.007,0.018,51.491468661303,7.412232154821,0.153,330.967,0.001
2016-08-18_18-42-12,1471545732.727156,deca010000000008,0.177,-2.356,-0.312,-0.058,-0.011,-0.126,51.491451287433,7.412213838651,-0.312,294.517,0.025
2016-08-18_18-42-12,1471545732.794887,deca010000000007,0.114,-0.050,0.152,-0.003,0.000,0.014,51.491468551163,7.412232224312,0.152,308.296,0.000
2016-08-18_18-42-12,1471545732.851679,deca010000000008,0.181,-2.362,-0.330,-0.051,-0.016,-0.133,51.491451225677,7.412213829821,-0.330,287.755,0.007
2016-08-18_18-42-12,1471545732.923749,deca010000000007,0.118,-0.047,0.148,0.003,0.003,0.009,51.491468553793,7.412232299836,0.148,77.428,0.001
2016-08-18_18-42-12,1471545732.976071,deca010000000008,0.178,-2.352,-0.315,-0.053,-0.007,-0.121,51.491451313180,7.412213876615,-0.315,297.974,0.007
2016-08-18_18-42-13,1471545733.044731,deca010000000008,0.167,-2.347,-0.304,-0.061,-0.001,-0.109,51.491451407484,7.412213797830,-0.304,303.950,0.004
